"title","rental_rate"
"Chamber Italian","4.99"
"Grosse Wonderful","4.99"
"Airport Pollock","4.99"
"Bright Encounters","4.99"
"Ace Goldfinger","4.99"
"Airplane Sierra","4.99"
"Aladdin Calendar","4.99"
"Ali Forever","4.99"
"Amelie Hellfighters","4.99"
"American Circus","4.99"
"Anthem Luke","4.99"
"Apache Divine","4.99"
"Apocalypse Flamingos","4.99"
"Dying Maker","4.99"
"Attacks Hate","4.99"
"Attraction Newton","4.99"
"Autumn Crow","4.99"
"Baby Hall","4.99"
"Backlash Undefeated","4.99"
"Casualties Encino","4.99"
"Beast Hunchback","4.99"
"Beauty Grease","4.99"
"Behavior Runaway","4.99"
"Betrayed Rear","4.99"
"Bikini Borrowers","4.99"
"Bilko Anonymous","4.99"
"Birch Antitrust","4.99"
"Bird Independence","4.99"
"Birds Perdition","4.99"
"Blindness Gun","4.99"
"Boiled Dares","4.99"
"Boogie Amelie","4.99"
"Born Spinal","4.99"
"Bowfinger Gables","4.99"
"Brannigan Sunrise","4.99"
"Breakfast Goldfinger","4.99"
"Brooklyn Desert","4.99"
"Bubble Grosse","4.99"
"Bucket Brotherhood","4.99"
"Calendar Gunfight","4.99"
"California Birds","4.99"
"Candles Grapes","4.99"
"Caribbean Liberty","4.99"
"Casablanca Super","4.99"
"Casper Dragonfly","4.99"
"Cat Coneheads","4.99"
"Center Dinosaur","4.99"
"Champion Flatliners","4.99"
"Chasing Fight","4.99"
"Chicago North","4.99"
"Chinatown Gladiator","4.99"
"Chisum Behavior","4.99"
"Cincinatti Whisperer","4.99"
"Clerks Angels","4.99"
"Closer Bang","4.99"
"Clue Grail","4.99"
"Coldblooded Darling","4.99"
"Coma Head","4.99"
"Command Darling","4.99"
"Commandments Express","4.99"
"Coneheads Smoochy","4.99"
"Confessions Maguire","4.99"
"Confidential Interview","4.99"
"Connecticut Tramp","4.99"
"Conquerer Nuts","4.99"
"Control Anthem","4.99"
"Conversation Downhill","4.99"
"Creepers Kane","4.99"
"Crossing Divorce","4.99"
"Crowds Telemark","4.99"
"Daddy Pittsburgh","4.99"
"Daisy Menagerie","4.99"
"Dangerous Uptown","4.99"
"Darko Dorado","4.99"
"Darling Breaking","4.99"
"Darn Forrester","4.99"
"Daughter Madigan","4.99"
"Dawn Pond","4.99"
"Day Unfaithful","4.99"
"Dazed Punk","4.99"
"Deep Crusade","4.99"
"Desert Poseidon","4.99"
"Desperate Trainspotting","4.99"
"Destiny Saturday","4.99"
"Details Packer","4.99"
"Devil Desire","4.99"
"Dogma Family","4.99"
"Doors President","4.99"
"Dorado Notting","4.99"
"Doubtfire Labyrinth","4.99"
"Dozen Lion","4.99"
"Dragonfly Strangers","4.99"
"Drifter Commandments","4.99"
"Driving Polish","4.99"
"Drop Waterfront","4.99"
"Dude Blindness","4.99"
"Durham Panky","4.99"
"Eagles Panky","4.99"
"Early Home","4.99"
"Easy Gladiator","4.99"
"Edge Kissing","4.99"
"Element Freddy","4.99"
"Elephant Trojan","4.99"
"Elf Murder","4.99"
"Elizabeth Shane","4.99"
"Enemy Odds","4.99"
"Eve Resurrection","4.99"
"Expecations Natural","4.99"
"Falcon Volume","4.99"
"Fellowship Autumn","4.99"
"Fever Empire","4.99"
"Fiddler Lost","4.99"
"Fidelity Devil","4.99"
"Fire Wolves","4.99"
"Flamingos Connecticut","4.99"
"Flash Wars","4.99"
"Flight Lies","4.99"
"Flintstones Happiness","4.99"
"Fool Mockingbird","4.99"
"Forrester Comancheros","4.99"
"Freddy Storm","4.99"
"French Holiday","4.99"
"Frisco Forrest","4.99"
"Frontier Cabin","4.99"
"Fugitive Maguire","4.99"
"Galaxy Sweethearts","4.99"
"Games Bowfinger","4.99"
"Garden Island","4.99"
"Ghost Groundhog","4.99"
"Gladiator Westward","4.99"
"Gold River","4.99"
"Goodfellas Salute","4.99"
"Gosford Donnie","4.99"
"Graceland Dynamite","4.99"
"Grinch Massage","4.99"
"Groundhog Uncut","4.99"
"Gump Date","4.99"
"Guys Falcon","4.99"
"Hall Cassidy","4.99"
"Hanging Deep","4.99"
"Hanover Galaxy","4.99"
"Harry Idaho","4.99"
"Haunted Antitrust","4.99"
"Head Stranger","4.99"
"Heartbreakers Bright","4.99"
"Heavenly Gun","4.99"
"Heavyweights Beast","4.99"
"Holes Brannigan","4.99"
"Holiday Games","4.99"
"Hollow Jeopardy","4.99"
"Home Pity","4.99"
"Hotel Happiness","4.99"
"Hunchback Impossible","4.99"
"Hustler Party","4.99"
"Hysterical Grail","4.99"
"Igby Maker","4.99"
"Impossible Prejudice","4.99"
"Inch Jet","4.99"
"Informer Double","4.99"
"Innocent Usual","4.99"
"Interview Liaisons","4.99"
"Intolerable Intentions","4.99"
"Iron Moon","4.99"
"Ishtar Rocketeer","4.99"
"Italian African","4.99"
"Jersey Sassy","4.99"
"Jet Neighbors","4.99"
"Jingle Sagebrush","4.99"
"King Evolution","4.99"
"Kiss Glory","4.99"
"Kissing Dolls","4.99"
"Lady Stage","4.99"
"Lambs Cincinatti","4.99"
"Lawless Vision","4.99"
"League Hellfighters","4.99"
"Legally Secretary","4.99"
"Liaisons Sweet","4.99"
"Lies Treatment","4.99"
"Lola Agent","4.99"
"Loser Hustler","4.99"
"Madigan Dorado","4.99"
"Maiden Home","4.99"
"Maltese Hope","4.99"
"Massacre Usual","4.99"
"Matrix Snowman","4.99"
"Memento Zoolander","4.99"
"Mermaid Insects","4.99"
"Midsummer Groundhog","4.99"
"Million Ace","4.99"
"Minds Truman","4.99"
"Mine Titans","4.99"
"Mission Zoolander","4.99"
"Mod Secretary","4.99"
"Model Fish","4.99"
"Monsoon Cause","4.99"
"Moonshine Cabin","4.99"
"Moonwalker Fool","4.99"
"Movie Shakespeare","4.99"
"Muppet Mile","4.99"
"Musketeers Wait","4.99"
"Name Detective","4.99"
"Nightmare Chill","4.99"
"North Tequila","4.99"
"Nuts Ties","4.99"
"October Submarine","4.99"
"Open African","4.99"
"Opposite Necklace","4.99"
"Opus Ice","4.99"
"Outlaw Hanky","4.99"
"Panic Club","4.99"
"Panky Submarine","4.99"
"Panther Reds","4.99"
"Park Citizen","4.99"
"Past Suicides","4.99"
"Paths Control","4.99"
"Paycheck Wait","4.99"
"Peak Forever","4.99"
"Pelican Comforts","4.99"
"Perdition Fargo","4.99"
"Philadelphia Wife","4.99"
"Pinocchio Simon","4.99"
"Pittsburgh Hunchback","4.99"
"Pity Bound","4.99"
"Platoon Instinct","4.99"
"Pluto Oleander","4.99"
"Poseidon Forever","4.99"
"Prejudice Oleander","4.99"
"President Bang","4.99"
"Private Drop","4.99"
"Punk Divorce","4.99"
"Queen Luke","4.99"
"Quills Bull","4.99"
"Rage Games","4.99"
"Raging Airplane","4.99"
"Rainbow Shock","4.99"
"Range Moonwalker","4.99"
"Records Zorro","4.99"
"Reds Pocus","4.99"
"Requiem Tycoon","4.99"
"Right Cranes","4.99"
"Road Roxanne","4.99"
"Rocky War","4.99"
"Roses Treasure","4.99"
"Rules Human","4.99"
"Sabrina Midnight","4.99"
"Satisfaction Confidential","4.99"
"Saturday Lambs","4.99"
"Saturn Name","4.99"
"Scalawag Duck","4.99"
"Scarface Bang","4.99"
"School Jacket","4.99"
"Scorpion Apollo","4.99"
"Seattle Expecations","4.99"
"Secret Groundhog","4.99"
"Secretary Rouge","4.99"
"Secrets Paradise","4.99"
"Sense Greek","4.99"
"Sensibility Rear","4.99"
"Seven Swarm","4.99"
"Shawshank Bubble","4.99"
"Show Lord","4.99"
"Silverado Goldfinger","4.99"
"Sister Freddy","4.99"
"Slacker Liaisons","4.99"
"Sleeping Suspects","4.99"
"Sleepless Monsoon","4.99"
"Snatch Slipper","4.99"
"Soldiers Evolution","4.99"
"Something Duck","4.99"
"Spartacus Cheaper","4.99"
"Speed Suit","4.99"
"Spice Sorority","4.99"
"Stagecoach Armageddon","4.99"
"Steel Santa","4.99"
"Steers Armageddon","4.99"
"Stepmom Dream","4.99"
"Sting Personal","4.99"
"Stranger Strangers","4.99"
"Strangers Graffiti","4.99"
"Streetcar Intentions","4.99"
"Submarine Bed","4.99"
"Sugar Wonka","4.99"
"Suicides Silence","4.99"
"Suit Walls","4.99"
"Sunrise League","4.99"
"Super Wyoming","4.99"
"Sweden Shining","4.99"
"Teen Apollo","4.99"
"Telegraph Voyage","4.99"
"Temple Attraction","4.99"
"Tequila Past","4.99"
"Terminator Club","4.99"
"Thief Pelican","4.99"
"Thin Sagebrush","4.99"
"Ties Hunger","4.99"
"Titanic Boondock","4.99"
"Titans Jerk","4.99"
"Torque Bound","4.99"
"Tourist Pelican","4.99"
"Trading Pinocchio","4.99"
"Traffic Hobbit","4.99"
"Train Bunch","4.99"
"Trainspotting Strangers","4.99"
"Trap Guys","4.99"
"Trip Newton","4.99"
"Truman Crazy","4.99"
"Twisted Pirates","4.99"
"Tycoon Gathering","4.99"
"Undefeated Dalmations","4.99"
"Usual Untouchables","4.99"
"Vampire Whale","4.99"
"Vanilla Day","4.99"
"Velvet Terminator","4.99"
"Videotape Arsenic","4.99"
"Villain Desperate","4.99"
"Virgin Daisy","4.99"
"Virtual Spoilers","4.99"
"Volume House","4.99"
"Wake Jaws","4.99"
"Walls Artist","4.99"
"Wanda Chamber","4.99"
"War Notting","4.99"
"Wash Heavenly","4.99"
"Waterfront Deliverance","4.99"
"Werewolf Lola","4.99"
"West Lion","4.99"
"Whale Bikini","4.99"
"Whisperer Giant","4.99"
"Wife Turn","4.99"
"Witches Panic","4.99"
"Wizard Coldblooded","4.99"
"Wonderland Christmas","4.99"
"Working Microcosmos","4.99"
"Wyoming Storm","4.99"
"Yentl Idaho","4.99"
"Zorro Ark","4.99"
